Dependent,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Stars,Lines of Code,Commits
ComplexContainerComprehension,0.0977633527657272*,-0.136580271258907**,0.0354768985083298,-0.0355873511375118,0.07994078399691,0.00597460958252216,-0.00595361466708988,0.05138574333545,0.305769044095012****,0.0477188725477708
ComplexLambdaExpression,0.0291227264999193,0.0470185885366516,0.0906922761034996,0.0505674167514725,0.0627185608463,0.0410831749171342,-0.026614065415849,0.105611619869145**,0.276084745174376****,0.0679644182632886
LargeClass,0.0783538087666997,-0.0616385449221198,0.0646842395743518,0.0180623719240722,0.0411569798215779,-0.0512833432111685,-0.0152278938112574,0.135875813465732***,0.330696568126747****,0.102575832922708**
LongBaseClassList,0.0688294361358571,-0.0790041891635095,0.0673769864483289,-0.0064385544103736,0.0470884595019353,-0.0552706467002002,-0.0156870481073771,0.135241726047315***,0.289251067950419****,0.0767641750264901
LongMessageChain,0.0828142727151367,-0.0710881494914363,0.113425505904796*,-0.0230342093254743,0.0786358108298618,0.000994258454300256,-0.0112032613279462,0.113203777447413**,0.359866655455564****,0.104990566321421**
LongMethod,0.0789339390328221,-0.07788003313262,0.0896267442415832,-0.0165159576009745,0.0749116857586812,-0.0134218224255337,-0.023091289591941,0.12022356444952**,0.367664053028737****,0.109438075951579**
LongParameterList,0.0789339390328221,-0.07788003313262,0.0896267442415832,-0.0165159576009745,0.0749116857586812,-0.0134218224255337,-0.023091289591941,0.12022356444952**,0.367664053028737****,0.109438075951579**
LongScopeChaining,0.103949482956114*,-0.0373331849630531,0.126328341630294**,-0.00613288283853896,0.0220373454102858,0.0416820952200728,0.00427289545420635,0.0984630483361866**,0.302669274516795****,0.0394851818200951
LongTernaryConditionalExpression,0.0998719830794118*,-0.0403636570489423,0.101584430476141*,0.0646913334515865,0.0800470918951322,-0.00999209438470458,-0.0167736849525665,0.103773050405306**,0.243591385261302****,0.00507180217601401
MultiplyNestedContainer,0.0274852426155752,-0.0871165794452446,0.0831844332992533,0.00437438824217669,0.095032329298173,-0.00745638283834842,-0.0162320875868191,0.0248851650822471,0.329618243435945****,0.0504134855244727
