Dependent,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Stars,Lines of Code,Commits
ComplexContainerComprehension,-0.2024505648003,0.0466996274802252,0.170167753016358,-0.056652136620337,-0.0514196252428602,0.15139068279485,-0.0576310796769863,-0.115255933846428,0.127412651765786,0.0715605304437976
ComplexLambdaExpression,-0.215103725100318,0.0466996274802252,0.159363451237542,-0.0418733183715534,-0.0453702575672296,0.133922527087752,-0.0225512920475164,-0.13271895412619,0.116940379017913,0.0680697728611734
LargeClass,-0.208777144950309,0.0400282521259073,0.170167753016358,-0.056652136620337,-0.0453702575672296,0.139745245656785,-0.0476082832114234,-0.11874853790238,0.13090340934841,0.0680697728611734
LongBaseClassList,-0.209381421597392,0.0434894507451512,0.170660280104315,-0.0568161084151194,-0.045501575519329,0.140149718993708,-0.047746078820034,-0.122594952081638,0.131282291209793,0.0717676525280199
LongMessageChain,-0.19612398465029,0.0466996274802252,0.16476560212695,-0.0517258638707424,-0.0332715222159684,0.139745245656785,-0.0375854867458606,-0.115255933846428,0.127412651765786,0.0855235607742947
LongMethod,-0.183470824350271,0.0466996274802252,0.16476560212695,-0.0517258638707424,-0.0332715222159684,0.15139068279485,-0.0476082832114234,-0.101285517622618,0.127412651765786,0.0855235607742947
LongParameterList,-0.183470824350271,0.0466996274802252,0.16476560212695,-0.0517258638707424,-0.0332715222159684,0.15139068279485,-0.0476082832114234,-0.101285517622618,0.127412651765786,0.0855235607742947
LongScopeChaining,-0.189797404500281,0.060042378188861,0.159363451237542,-0.0467995911211479,-0.0453702575672296,0.157213401363883,-0.042596884978642,-0.11874853790238,0.123921894183162,0.0820328031916705
LongTernaryConditionalExpression,-0.189797404500281,0.0533710028345431,0.159363451237542,-0.0467995911211479,-0.0453702575672296,0.157213401363883,-0.042596884978642,-0.111763329790475,0.123921894183162,0.0750512880264219
MultiplyNestedContainer,-0.177144244200262,0.0733851288974968,0.180972054795175,-0.0369470456219589,-0.0332715222159684,0.157213401363883,-0.0826880708408933,-0.101285517622618,0.127412651765786,0.0785420456090462
