Dependent,Commits,Community,Continuous Integration,Contributors,Documentation,History,Issues,License,Contributors,Lines of Code,Stars,Unit Testing
ComplexContainerComprehension,0.0531937581266727,0.0305359901646356,0.0855479192924981,0.00907084360286871,-0.0895034817608758,0.0311642931827196,0.0142222419944878,0.150407643920093*,0.00907084360286871,0.101824191327217*,-0.0436302142367962,0.016688150630977
ComplexLambdaExpression,-0.0254694237746277,-0.0999654068955116,0.091950203804176,0.0296895195886761,-0.0205383958350843,0.0149442363353002,-0.0956750460845454,0.115517879984086*,0.0296895195886761,0.10275699790328*,-0.0450085643916124,-0.0501481015586749
LargeClass,-0.0266654073120322,-0.0108524209883498,0.0430716740780825,-0.0181026357286695,-0.0720541515832626,0.139331652833021*,-0.0580187122069472,0.113096382805523*,-0.0181026357286695,0.12876674073646*,-0.109973188532404*,0.00993290793650304
LongBaseClassList,-0.0292328233780371,-0.00501770295146256,0.0267479475035135,-0.0306691088428085,-0.0670262222479992,0.153536943562513*,-0.0518495971651131,0.112584627276821*,-0.0306691088428085,0.131262865970008*,-0.110420550340855*,0.017267120571809
LongMessageChain,0.0264710772083792,-0.024146716138383,0.0427660320963108,0.0123470341991194,-0.0902880011828021,0.0644506757329433,-0.0199834892179722,0.113513724045805*,0.0123470341991194,0.131820593038425*,-0.113077701961154*,-0.0676024252409195
LongMethod,0.0198157113428231,-0.0112371782031539,0.0886144487573943,-0.0268098567067249,-0.0440732550683883,0.113961287928402*,-0.0566020828010714,0.139719826004301*,-0.0268098567067249,0.130901452201693*,-0.085063901424876,-0.0235951493893841
LongParameterList,0.0198157113428231,-0.0112371782031539,0.0886144487573943,-0.0268098567067249,-0.0440732550683883,0.113961287928402*,-0.0566020828010714,0.139719826004301*,-0.0268098567067249,0.130901452201693*,-0.085063901424876,-0.0235951493893841
LongScopeChaining,0.0333148771450025,-0.0281807349952122,0.172069572068844*,0.0717556225201572,0.0220123174061137,0.0541135566158842,-0.01950973961207,0.115994371945988*,0.0717556225201572,0.116638219153713*,-0.0712291171265112,0.0124413361559957
LongTernaryConditionalExpression,0.00369585736592759,-0.025375194415374,0.0128356444396802,-0.0204998807756922,-0.0708596291354157,0.0308945937533869,0.0342565124607548,0.130447274271093*,-0.0204998807756922,0.0829448791038051,0.00433470098788741,-0.00296007242007592
MultiplyNestedContainer,0.0229525519462273,0.0341298724552213,0.0143813192163575,0.0226968999205113,-0.129209173679294*,0.0366471001067837,-0.0682597449104426,0.0964623920635971,0.0226968999205113,0.0856430210433609,-0.0260979411608632,0.0241792660444877
