Dependent,Independent,Correlation
ComplexContainerComprehension,Stars,-0.115255933846428*
ComplexContainerComprehension,Commits,0.0715605304437976
ComplexContainerComprehension,Lines of Code,0.127412651765786*
ComplexContainerComprehension,Community,-0.2024505648003*
ComplexContainerComprehension,Continuous Integration,0.0466996274802252
ComplexContainerComprehension,Documentation,0.170167753016358*
ComplexContainerComprehension,History,-0.056652136620337
ComplexContainerComprehension,Issues,-0.0514196252428602
ComplexContainerComprehension,License,0.15139068279485*
ComplexContainerComprehension,Unit Testing,-0.0576310796769863
ComplexContainerComprehension,Contributors,-0.0687665953962337
ComplexLambdaExpression,Stars,-0.13271895412619*
ComplexLambdaExpression,Commits,0.0680697728611734
ComplexLambdaExpression,Lines of Code,0.116940379017913*
ComplexLambdaExpression,Community,-0.215103725100318*
ComplexLambdaExpression,Continuous Integration,0.0466996274802252
ComplexLambdaExpression,Documentation,0.159363451237542*
ComplexLambdaExpression,History,-0.0418733183715534
ComplexLambdaExpression,Issues,-0.0453702575672296
ComplexLambdaExpression,License,0.133922527087752*
ComplexLambdaExpression,Unit Testing,-0.0225512920475164
ComplexLambdaExpression,Contributors,-0.0832437733743882
LargeClass,Stars,-0.11874853790238*
LargeClass,Commits,0.0680697728611734
LargeClass,Lines of Code,0.13090340934841*
LargeClass,Community,-0.208777144950309*
LargeClass,Continuous Integration,0.0400282521259073
LargeClass,Documentation,0.170167753016358*
LargeClass,History,-0.056652136620337
LargeClass,Issues,-0.0453702575672296
LargeClass,License,0.139745245656785*
LargeClass,Unit Testing,-0.0476082832114234
LargeClass,Contributors,-0.0651473009016951
LongBaseClassList,Stars,-0.122594952081638*
LongBaseClassList,Commits,0.0717676525280199
LongBaseClassList,Lines of Code,0.131282291209793*
LongBaseClassList,Community,-0.209381421597392*
LongBaseClassList,Continuous Integration,0.0434894507451512
LongBaseClassList,Documentation,0.170660280104315*
LongBaseClassList,History,-0.0568161084151194
LongBaseClassList,Issues,-0.045501575519329
LongBaseClassList,License,0.140149718993708*
LongBaseClassList,Unit Testing,-0.047746078820034
LongBaseClassList,Contributors,-0.0635209757560549
LongMessageChain,Stars,-0.115255933846428*
LongMessageChain,Commits,0.0855235607742947
LongMessageChain,Lines of Code,0.127412651765786*
LongMessageChain,Community,-0.19612398465029*
LongMessageChain,Continuous Integration,0.0466996274802252
LongMessageChain,Documentation,0.16476560212695*
LongMessageChain,History,-0.0517258638707424
LongMessageChain,Issues,-0.0332715222159684
LongMessageChain,License,0.139745245656785*
LongMessageChain,Unit Testing,-0.0375854867458606
LongMessageChain,Contributors,-0.0651473009016951
LongMethod,Stars,-0.101285517622618*
LongMethod,Commits,0.0855235607742947
LongMethod,Lines of Code,0.127412651765786*
LongMethod,Community,-0.183470824350271*
LongMethod,Continuous Integration,0.0466996274802252
LongMethod,Documentation,0.16476560212695*
LongMethod,History,-0.0517258638707424
LongMethod,Issues,-0.0332715222159684
LongMethod,License,0.15139068279485*
LongMethod,Unit Testing,-0.0476082832114234
LongMethod,Contributors,-0.0687665953962337
LongParameterList,Stars,-0.101285517622618*
LongParameterList,Commits,0.0855235607742947
LongParameterList,Lines of Code,0.127412651765786*
LongParameterList,Community,-0.183470824350271*
LongParameterList,Continuous Integration,0.0466996274802252
LongParameterList,Documentation,0.16476560212695*
LongParameterList,History,-0.0517258638707424
LongParameterList,Issues,-0.0332715222159684
LongParameterList,License,0.15139068279485*
LongParameterList,Unit Testing,-0.0476082832114234
LongParameterList,Contributors,-0.0687665953962337
LongScopeChaining,Stars,-0.11874853790238*
LongScopeChaining,Commits,0.0820328031916705
LongScopeChaining,Lines of Code,0.123921894183162*
LongScopeChaining,Community,-0.189797404500281*
LongScopeChaining,Continuous Integration,0.060042378188861
LongScopeChaining,Documentation,0.159363451237542*
LongScopeChaining,History,-0.0467995911211479
LongScopeChaining,Issues,-0.0453702575672296
LongScopeChaining,License,0.157213401363883*
LongScopeChaining,Unit Testing,-0.042596884978642
LongScopeChaining,Contributors,-0.0760051843853109
LongTernaryConditionalExpression,Stars,-0.111763329790475*
LongTernaryConditionalExpression,Commits,0.0750512880264219
LongTernaryConditionalExpression,Lines of Code,0.123921894183162*
LongTernaryConditionalExpression,Community,-0.189797404500281*
LongTernaryConditionalExpression,Continuous Integration,0.0533710028345431
LongTernaryConditionalExpression,Documentation,0.159363451237542*
LongTernaryConditionalExpression,History,-0.0467995911211479
LongTernaryConditionalExpression,Issues,-0.0453702575672296
LongTernaryConditionalExpression,License,0.157213401363883*
LongTernaryConditionalExpression,Unit Testing,-0.042596884978642
LongTernaryConditionalExpression,Contributors,-0.0796244788798496
MultiplyNestedContainer,Stars,-0.101285517622618*
MultiplyNestedContainer,Commits,0.0785420456090462
MultiplyNestedContainer,Lines of Code,0.127412651765786*
MultiplyNestedContainer,Community,-0.177144244200262*
MultiplyNestedContainer,Continuous Integration,0.0733851288974968
MultiplyNestedContainer,Documentation,0.180972054795175*
MultiplyNestedContainer,History,-0.0369470456219589
MultiplyNestedContainer,Issues,-0.0332715222159684
MultiplyNestedContainer,License,0.157213401363883*
MultiplyNestedContainer,Unit Testing,-0.0826880708408933
MultiplyNestedContainer,Contributors,-0.047050828429002
