Dependent,Commits,Community,Continuous Integration,Contributors,Documentation,History,Issues,License,Contributors,Lines of Code,Stars,Unit Testing
ComplexContainerComprehension,-0.103491222805536*,0.00400299357944118,-0.0355000741178041,-0.0853106869320427,-0.0228614978429606,0,-0.040002230810424,0,-0.0853106869320427,0.0940489857542781,0.0530954969176226,-0.0865947155577995
ComplexLambdaExpression,-0.0387928159504525,0.0183270454098662,-0.119467399877157*,-0.0430140820517068,0.0533931859024487,0.0221805040551972,-0.101984653172116*,0,-0.0430140820517068,0.206142543598302*,0.00532450415006211,-0.049494957957974
LargeClass,-0.0785171748228372,-0.126917611604938*,-0.0725487845260599,-0.0300431176385198,-0.0391481083408515,0,-0.000433063183761895,0,-0.0300431176385198,0.164239132912086*,-0.0102179885043418,0.0509001352258541
LongBaseClassList,-0.0720137062327739,-0.116118759907358*,-0.0970602387255825,-0.0161042781833763,-0.0417236854350571,-0.0147773064925962,0.00695882418852675,0,-0.0161042781833763,0.159009909437441*,-0.00684130209211352,0.0521841238359161
LongMessageChain,-0.082092767639895,-0.116988151336737*,-0.103360980335875*,-0.0783897360199317,-0.058081174911853,-0.0158299976332364,-0.0616803896953631,0,-0.0783897360199317,0.200356421010448*,-0.0164894760054217,-0.0524422184817155
LongMethod,-0.0804040550683218,-0.0807467739935825,-0.0683102451522477,-0.0249464933306597,-0.0323616087993619,0.000255027699552671,-0.0547636995908533,0,-0.0249464933306597,0.179776351051245*,-0.0357744914621167,-0.00628579907251417
LongParameterList,-0.0804040550683218,-0.0807467739935825,-0.0683102451522477,-0.0249464933306597,-0.0323616087993619,0.000255027699552671,-0.0547636995908533,0,-0.0249464933306597,0.179776351051245*,-0.0357744914621167,-0.00628579907251417
LongScopeChaining,-0.117429752301466*,0.0166582539409831,-0.0950621700231108,0.011451051512337,-0.0548615874122286,-0.0540219374135558,-0.119894179447707*,0,0.011451051512337,0.0872625600225428,0.0679959297852084,-0.0285102668671058
LongTernaryConditionalExpression,-0.116579953041604*,0.0128996236088073,-0.170892009307015*,0.0210707148111112,0.0443749565057983,-0.000556803316611951,-0.00373643353442745,0,0.0210707148111112,0.132123302143068*,0.0305466543624768,-0.075480999809009
MultiplyNestedContainer,-0.0892274469533066,-0.051187097303092,-0.105791568439789*,-0.059340659718251,-0.0236708216111974,-0.0502226252383556,-0.0958024595626791,0,-0.059340659718251,0.160963006932366*,0.00035407717044963,-0.0488721962388907
