Dependent,Independent,Correlation
ComplexContainerComprehension,Stars,0.0530954969176226
ComplexContainerComprehension,Commits,-0.103491222805536*
ComplexContainerComprehension,Lines of Code,0.0940489857542781
ComplexContainerComprehension,Community,0.00400299357944118
ComplexContainerComprehension,Continuous Integration,-0.0355000741178041
ComplexContainerComprehension,Documentation,-0.0228614978429606
ComplexContainerComprehension,History,0
ComplexContainerComprehension,Issues,-0.040002230810424
ComplexContainerComprehension,License,0
ComplexContainerComprehension,Unit Testing,-0.0865947155577995
ComplexContainerComprehension,Contributors,-0.0853106869320427
ComplexLambdaExpression,Stars,0.00532450415006211
ComplexLambdaExpression,Commits,-0.0387928159504525
ComplexLambdaExpression,Lines of Code,0.206142543598302*
ComplexLambdaExpression,Community,0.0183270454098662
ComplexLambdaExpression,Continuous Integration,-0.119467399877157*
ComplexLambdaExpression,Documentation,0.0533931859024487
ComplexLambdaExpression,History,0.0221805040551972
ComplexLambdaExpression,Issues,-0.101984653172116*
ComplexLambdaExpression,License,0
ComplexLambdaExpression,Unit Testing,-0.049494957957974
ComplexLambdaExpression,Contributors,-0.0430140820517068
LargeClass,Stars,-0.0102179885043418
LargeClass,Commits,-0.0785171748228372
LargeClass,Lines of Code,0.164239132912086*
LargeClass,Community,-0.126917611604938*
LargeClass,Continuous Integration,-0.0725487845260599
LargeClass,Documentation,-0.0391481083408515
LargeClass,History,0
LargeClass,Issues,-0.000433063183761895
LargeClass,License,0
LargeClass,Unit Testing,0.0509001352258541
LargeClass,Contributors,-0.0300431176385198
LongBaseClassList,Stars,-0.00684130209211352
LongBaseClassList,Commits,-0.0720137062327739
LongBaseClassList,Lines of Code,0.159009909437441*
LongBaseClassList,Community,-0.116118759907358*
LongBaseClassList,Continuous Integration,-0.0970602387255825
LongBaseClassList,Documentation,-0.0417236854350571
LongBaseClassList,History,-0.0147773064925962
LongBaseClassList,Issues,0.00695882418852675
LongBaseClassList,License,0
LongBaseClassList,Unit Testing,0.0521841238359161
LongBaseClassList,Contributors,-0.0161042781833763
LongMessageChain,Stars,-0.0164894760054217
LongMessageChain,Commits,-0.082092767639895
LongMessageChain,Lines of Code,0.200356421010448*
LongMessageChain,Community,-0.116988151336737*
LongMessageChain,Continuous Integration,-0.103360980335875*
LongMessageChain,Documentation,-0.058081174911853
LongMessageChain,History,-0.0158299976332364
LongMessageChain,Issues,-0.0616803896953631
LongMessageChain,License,0
LongMessageChain,Unit Testing,-0.0524422184817155
LongMessageChain,Contributors,-0.0783897360199317
LongMethod,Stars,-0.0357744914621167
LongMethod,Commits,-0.0804040550683218
LongMethod,Lines of Code,0.179776351051245*
LongMethod,Community,-0.0807467739935825
LongMethod,Continuous Integration,-0.0683102451522477
LongMethod,Documentation,-0.0323616087993619
LongMethod,History,0.000255027699552671
LongMethod,Issues,-0.0547636995908533
LongMethod,License,0
LongMethod,Unit Testing,-0.00628579907251417
LongMethod,Contributors,-0.0249464933306597
LongParameterList,Stars,-0.0357744914621167
LongParameterList,Commits,-0.0804040550683218
LongParameterList,Lines of Code,0.179776351051245*
LongParameterList,Community,-0.0807467739935825
LongParameterList,Continuous Integration,-0.0683102451522477
LongParameterList,Documentation,-0.0323616087993619
LongParameterList,History,0.000255027699552671
LongParameterList,Issues,-0.0547636995908533
LongParameterList,License,0
LongParameterList,Unit Testing,-0.00628579907251417
LongParameterList,Contributors,-0.0249464933306597
LongScopeChaining,Stars,0.0679959297852084
LongScopeChaining,Commits,-0.117429752301466*
LongScopeChaining,Lines of Code,0.0872625600225428
LongScopeChaining,Community,0.0166582539409831
LongScopeChaining,Continuous Integration,-0.0950621700231108
LongScopeChaining,Documentation,-0.0548615874122286
LongScopeChaining,History,-0.0540219374135558
LongScopeChaining,Issues,-0.119894179447707*
LongScopeChaining,License,0
LongScopeChaining,Unit Testing,-0.0285102668671058
LongScopeChaining,Contributors,0.011451051512337
LongTernaryConditionalExpression,Stars,0.0305466543624768
LongTernaryConditionalExpression,Commits,-0.116579953041604*
LongTernaryConditionalExpression,Lines of Code,0.132123302143068*
LongTernaryConditionalExpression,Community,0.0128996236088073
LongTernaryConditionalExpression,Continuous Integration,-0.170892009307015*
LongTernaryConditionalExpression,Documentation,0.0443749565057983
LongTernaryConditionalExpression,History,-0.000556803316611951
LongTernaryConditionalExpression,Issues,-0.00373643353442745
LongTernaryConditionalExpression,License,0
LongTernaryConditionalExpression,Unit Testing,-0.075480999809009
LongTernaryConditionalExpression,Contributors,0.0210707148111112
MultiplyNestedContainer,Stars,0.00035407717044963
MultiplyNestedContainer,Commits,-0.0892274469533066
MultiplyNestedContainer,Lines of Code,0.160963006932366*
MultiplyNestedContainer,Community,-0.051187097303092
MultiplyNestedContainer,Continuous Integration,-0.105791568439789*
MultiplyNestedContainer,Documentation,-0.0236708216111974
MultiplyNestedContainer,History,-0.0502226252383556
MultiplyNestedContainer,Issues,-0.0958024595626791
MultiplyNestedContainer,License,0
MultiplyNestedContainer,Unit Testing,-0.0488721962388907
MultiplyNestedContainer,Contributors,-0.059340659718251
