GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community_Converted,Community,Continuous Integration_Converted,Continuous Integration,Documentation_Converted,Documentation,History_Converted,History,Issues_Converted,Issues,License_Converted,License,Unit Testing_Converted,Unit Testing,ComplexContainerComprehension,ComplexLambdaExpression,LargeClass,LongBaseClassList,LongMessageChain,LongMethod,LongParameterList,LongScopeChaining,LongTernaryConditionalExpression,MultiplyNestedContainer,Normalized_ComplexContainerComprehension,Normalized_ComplexLambdaExpression,Normalized_LargeClass,Normalized_LongBaseClassList,Normalized_LongMessageChain,Normalized_LongMethod,Normalized_LongParameterList,Normalized_LongScopeChaining,Normalized_LongTernaryConditionalExpression,Normalized_MultiplyNestedContainer,Architecture_Converted
aimacode/aima-python,Y,4715,1188,27352,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/aimacode/aima-python/graphs/contributors shows that there are multiple contributors,1,The project uses Travis CI,1,There is a well-maintained documentation,1.0,Little evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/aimacode/aima-python/issues/1181 and https://github.com/aimacode/aima-python/issues/1190",1,https://github.com/aimacode/aima-python/blob/master/LICENSE is provided.,1,There are many files related to testing,63.0,8.0,30.0,6.0,101.0,347.0,347.0,5.0,11.0,888.0,0.0195046439628483,0.0059523809523809,0.0034666050381326,0.0006951685783802,0.0032213823238605,0.0168848231229623,0.0168848231229623,0.0026399155227032,0.0119956379498364,0.0199595414699932,21
alibaba/ai-matrix,N,136,290,107178,Organized into projects where each project source code have been organised into different modules in a way that shows the relationship between different files,1,https://github.com/alibaba/ai-matrix/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project but there's a lot of projects so I may miss out,1,There is a well-maintained documentation,1.0,Little evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/alibaba/ai-matrix/issues/2 and https://github.com/alibaba/ai-matrix/issues/51 but not often as there are more open than closed issues",1,"There are many projects, some of them has license is provided.",1,There are many projects in this git and some of them have test files,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
allegroai/trains,Y,1347,640,115412,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/allegroai/trains/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,1,There is a well-maintained documentation,1.0,Little evidence of sustained commit activity,1,"The project maintainers (mainly 1 person) respond to issues, as evidenced by https://github.com/allegroai/trains/issues/154 and https://github.com/allegroai/trains/issues/138",1,https://github.com/allegroai/trains/blob/master/LICENSE is provided.,0,There is no evidence of any testing done on the project.,748.0,62.0,1371.0,1362.0,2206.0,9588.0,9588.0,88.0,725.0,3170.0,0.231578947368421,0.0461309523809523,0.1584238502426623,0.1578032672923184,0.0703600931330335,0.4665466400661768,0.4665466400661768,0.0464625131995776,0.7906215921483097,0.0712519667340975,21
allenai/allennlp,Y,8655,2156,40659,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/allenai/allennlp/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,1,There is a well-maintained documentation,1.0,Evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/XanaduAI/pennylane/issues/661 and https://github.com/allenai/allennlp/issues/4437",1,https://github.com/allenai/allennlp/blob/master/LICENSE is provided.,1,There are many files related to testing,137.0,21.0,142.0,133.0,683.0,531.0,531.0,3.0,2.0,924.0,0.0424148606811145,0.015625,0.0164085971804945,0.0154095701540957,0.0217841992791758,0.0258381587270692,0.0258381587270692,0.0015839493136219,0.0021810250817884,0.0207687120701281,21
amaiya/ktrain,Y,418,1315,13599,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/amaiya/ktrain/graphs/contributors shows that there are multiple contributors but mainly 1,0,CI is not used on the project.,1,There is a well-maintained documentation,1.0,Evidence of sustained commit activity,1,"The project maintainers (mainly 1 person) respond to issues, as evidenced by https://github.com/amaiya/ktrain/issues/191 and https://github.com/amaiya/ktrain/issues/185",1,https://github.com/amaiya/ktrain/blob/master/LICENSE is provided.,1,There are many files related to testing,105.0,16.0,70.0,65.0,566.0,555.0,555.0,9.0,99.0,840.0,0.0325077399380804,0.0119047619047619,0.0080887450889761,0.0075309929324527,0.0180524989634165,0.0270059851102136,0.0270059851102136,0.0047518479408658,0.1079607415485278,0.0188806473364801,21
analyticalmindsltd/smote_variants,Y,164,236,12264,The source code of this project has been organised into different modules in a way that shows the relationship between different files,0,There are no contributors to the project other than the author.,1,The project uses Travis and Circle CI,1,There is a well-maintained documentation,0.0,No evidence of sustained commit activity,1,"The project author respond to issues, as evidenced by https://github.com/analyticalmindsltd/smote_variants/issues/24 and https://github.com/analyticalmindsltd/smote_variants/issues/11 but not often",1,https://github.com/analyticalmindsltd/smote_variants/blob/master/LICENSE is provided.,1,Only 1 test file,41.0,26.0,8.0,5.0,202.0,301.0,301.0,3.0,0.0,1138.0,0.0126934984520123,0.019345238095238,0.0009244280101687,0.0005793071486502,0.0064427646477211,0.0146464892219356,0.0146464892219356,0.0015839493136219,0.0,0.0255787817487075,21
apache/beam,Y,4034,27591,141584,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/apache/beam/graphs/contributors shows that there are multiple contributors,1,The project uses CI but not sure what is it,1,There is a well-maintained documentation,1.0,Evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/apache/beam/pull/12186 and https://github.com/apache/beam/pull/12190",1,https://github.com/apache/beam/blob/master/LICENSE is provided.,1,There are many files related to testing,727.0,847.0,2454.0,2408.0,5888.0,7484.0,7484.0,199.0,248.0,4168.0,0.2250773993808049,0.6302083333333333,0.2835682921192512,0.2789943227899432,0.1877970210187222,0.3641671938105201,0.3641671938105201,0.1050686378035902,0.2704471101417666,0.0936839739267251,21
apple/turicreate,Y,9707,1514,250459,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/apple/turicreate/graphs/contributors shows that there are multiple contributors,1,The project uses Travis and Gitlab CI,1,There is a well-maintained documentation,1.0,Evidence of sustained commit activity but decreasing,1,"The project maintainers respond to issues, as evidenced by https://github.com/apple/turicreate/issues/3247 and https://github.com/apple/turicreate/issues/3249",1,https://github.com/apple/turicreate/blob/master/LICENSE.md is provided.,1,There are many files related to testing,2366.0,1295.0,1987.0,1560.0,15826.0,16327.0,16327.0,640.0,603.0,26937.0,0.7325077399380805,0.9635416666666666,0.2296048070256529,0.1807438303788668,0.5047682837368035,0.7944625565665904,0.7944625565665904,0.337909186906019,0.6575790621592149,0.6054619015509103,21
arita37/mlmodels,Y,128,2563,253130,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/arita37/mlmodels/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,1,There is a well-maintained documentation,1.0,Evidence of sustained commit activity,1,Open issues more than closed,1,https://github.com/arita37/mlmodels/blob/dev/LICENSE is provided.,1,There are many files related to testing,382.0,62.0,436.0,410.0,1883.0,2450.0,2450.0,27.0,289.0,8645.0,0.118266253869969,0.0461309523809523,0.0503813265541946,0.0475031861893175,0.0600580486715784,0.119215609945988,0.119215609945988,0.0142555438225976,0.3151581243184296,0.194313328837941,21
arviz-devs/arviz,Y,804,966,29227,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/arviz-devs/arviz/graphs/contributors shows that there are multiple contributors,1,The project uses Azure Pipeline CI,1,There is a well-maintained documentation,1.0,Evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/arviz-devs/arviz/issues/1262 and https://github.com/arviz-devs/arviz/issues/1270",1,https://github.com/arviz-devs/arviz/blob/master/LICENSE is provided.,1,There are many files related to testing,24.0,8.0,16.0,1.0,233.0,150.0,150.0,6.0,16.0,276.0,0.0074303405572755,0.0059523809523809,0.0018488560203374,0.00011586142973,0.0074315057570248,0.0072989148946523,0.0072989148946523,0.0031678986272439,0.0174482006543075,0.0062036412677006,21
