GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community_Converted,Community,Continuous Integration_Converted,Continuous Integration,Documentation_Converted,Documentation,History_Converted,History,Issues_Converted,Issues,License_Converted,License,Unit Testing_Converted,Unit Testing,ComplexContainerComprehension,ComplexLambdaExpression,LargeClass,LongBaseClassList,LongMessageChain,LongMethod,LongParameterList,LongScopeChaining,LongTernaryConditionalExpression,MultiplyNestedContainer,Normalized_ComplexContainerComprehension,Normalized_ComplexLambdaExpression,Normalized_LargeClass,Normalized_LongBaseClassList,Normalized_LongMessageChain,Normalized_LongMethod,Normalized_LongParameterList,Normalized_LongScopeChaining,Normalized_LongTernaryConditionalExpression,Normalized_MultiplyNestedContainer
1989ryan/semantic_slam,N,100,117,9443,The source code of the project exists as ad-hoc scripts,0,There are no contributors to the project other than the author.,0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,0,No evidence of sustained commit activity,0,The author of the project does not reply to issues or close them.,1,https://github.com/1989Ryan/Semantic_SLAM/blob/master/LICENSE is provided.,1,Only 1 file related to testing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aaronward/covidify,Y,422,270,1666,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/AaronWard/covidify/graphs/contributors shows that there are multiple contributors.,0,CI is not used on the project.,1,There is a well-maintained documentation,1,There are only 2 commits in the past month however there seems to be evidence of sustained commit activity as the commits are quite stable,1,"Only project author respond to issues, as evidenced by https://github.com/AaronWard/covidify/issues/9 and https://github.com/AaronWard/covidify/issues/27.",1,https://github.com/AaronWard/covidify/blob/master/LICENSE is provided.,1,There are 2 files related to testing.,6.0,1.0,0.0,0.0,60.0,44.0,44.0,0.0,0.0,168.0,0.0018575851393188856,0.000744047619047619,0.0,0.0,0.001913692469620132,0.002141015035764683,0.002141015035764683,0.0,0.0,0.0037761294672960214
adlik/adlik,Y,107,150,6325,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/Adlik/Adlik/graphs/contributors shows that there are multiple contributors.,1,The project uses Azure Pipeline for CI,1,There is a well-maintained documentation,1,Evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/Adlik/Adlik/issues/136 and https://github.com/Adlik/Adlik/issues/108.",1,https://github.com/Adlik/Adlik/blob/master/LICENSE is provided.,1,There are many files related to testing.,52.0,7.0,86.0,86.0,618.0,389.0,389.0,10.0,0.0,237.0,0.016099071207430343,0.005208333333333333,0.009937601109313613,0.009964082956783686,0.01971103243708736,0.01892851929346504,0.01892851929346504,0.005279831045406547,0.0,0.005327039784221173
adobe/antialiased-cnns,N,1120,115,1785,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/adobe/antialiased-cnns/graphs/contributors shows that there are multiple contributors but mainly 1,0,CI is not used on the project.,1,There is a well-maintained documentation,0,No evidence of sustained commit activity,0,Do reply to issues last time but not recently,1,https://github.com/adobe/antialiased-cnns/blob/master/LICENSE.md is provided.,0,There is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
advboxes/advbox,N,907,370,10255,Organized into projects where each project source code have been organised into different modules in a way that shows the relationship between different files,1,https://github.com/advboxes/AdvBox/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,0,Most of the functions in the source code are not documented but there are tutorials py files,0,No evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/advboxes/AdvBox/issues/43 and https://github.com/advboxes/AdvBox/issues/17",1,https://github.com/advboxes/AdvBox/blob/master/LICENSE is provided.,0,There is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afagarap/cnn-svm,N,145,111,557,The source code of the project exists as ad-hoc scripts,0,There are no contributors to the project other than the author.,0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,0,No evidence of sustained commit activity,0,Issues all raised by author and he do answered others' questions,1,https://github.com/AFAgarap/cnn-svm/blob/master/LICENSE is provided.,0,there is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aicoe/prometheus-anomaly-detector,N,145,135,1441,The source code of the project exists as ad-hoc scripts,1,https://github.com/AICoE/prometheus-anomaly-detector/graphs/contributors shows that there are multiple contributors.,0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,0,Not much commits with only 1 commit last month,1,"The project maintainers respond to issues, as evidenced by https://github.com/AICoE/prometheus-anomaly-detector/issues/68 and https://github.com/AICoE/prometheus-anomaly-detector/issues/64.",1,https://github.com/AICoE/prometheus-anomaly-detector/blob/master/LICENSE is provided.,1,There are 2 files related to testing.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aimacode/aima-python,Y,4715,1188,27352,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/aimacode/aima-python/graphs/contributors shows that there are multiple contributors,1,The project uses Travis CI,1,There is a well-maintained documentation,1,Little evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/aimacode/aima-python/issues/1181 and https://github.com/aimacode/aima-python/issues/1190",1,https://github.com/aimacode/aima-python/blob/master/LICENSE is provided.,1,There are many files related to testing,63.0,8.0,30.0,6.0,101.0,347.0,347.0,5.0,11.0,888.0,0.0195046439628483,0.005952380952380952,0.0034666050381326557,0.0006951685783802572,0.0032213823238605556,0.016884823122962387,0.016884823122962387,0.0026399155227032735,0.011995637949836423,0.019959541469993257
aiqm/torchani,Y,153,358,4738,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/aiqm/torchani/graphs/contributors shows that there are multiple contributors,1,The project uses CI but not sure what is it,0,Most of the functions in the source code are not documented.,1,Evidence of sustained commit activity but not stable,1,"The project maintainers respond to issues, as evidenced by https://github.com/XanaduAI/pennylane/issues/661 and https://github.com/XanaduAI/pennylane/issues/533",1,https://github.com/aiqm/torchani/blob/master/LICENSE is provided.,1,There are many files related to testing,16.0,8.0,38.0,34.0,451.0,132.0,132.0,5.0,9.0,356.0,0.004953560371517028,0.005952380952380952,0.004391033048301364,0.003939288610821458,0.01438458839664466,0.006423045107294049,0.006423045107294049,0.0026399155227032735,0.009814612868047983,0.008001798156889188
aisolab/nlp_classification,N,176,383,5626,Organized into projects where each project source code have been organised into different modules in a way that shows the relationship between different files,1,https://github.com/aisolab/nlp_classification/graphs/contributors shows that there are multiple contributors but mainly 1,0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,0,No evidence of sustained commit activity,1,"Only 2 issues, 1 open, 1 closed",1,https://github.com/aisolab/nlp_classification/blob/master/LICENSE is provided.,1,1 test file for each project,119.0,114.0,62.0,51.0,1340.0,641.0,641.0,45.0,35.0,455.0,0.0368421052631579,0.08482142857142856,0.007164317078807488,0.005908932916232186,0.042739131821516285,0.03119069631648095,0.03119069631648095,0.02375923970432946,0.03816793893129771,0.010227017307260057
