GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community_Converted,Community,Continuous Integration_Converted,Continuous Integration,Documentation_Converted,Documentation,History_Converted,History,Issues_Converted,Issues,License_Converted,License,Unit Testing_Converted,Unit Testing,ComplexContainerComprehension,ComplexLambdaExpression,LargeClass,LongBaseClassList,LongMessageChain,LongMethod,LongParameterList,LongScopeChaining,LongTernaryConditionalExpression,MultiplyNestedContainer,Normalized_ComplexContainerComprehension,Normalized_ComplexLambdaExpression,Normalized_LargeClass,Normalized_LongBaseClassList,Normalized_LongMessageChain,Normalized_LongMethod,Normalized_LongParameterList,Normalized_LongScopeChaining,Normalized_LongTernaryConditionalExpression,Normalized_MultiplyNestedContainer,Architecture_Converted
aaronward/covidify,Y,422,270,1666,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/AaronWard/covidify/graphs/contributors shows that there are multiple contributors.,0,CI is not used on the project.,1,There is a well-maintained documentation,1.0,There are only 2 commits in the past month however there seems to be evidence of sustained commit activity as the commits are quite stable,1,"Only project author respond to issues, as evidenced by https://github.com/AaronWard/covidify/issues/9 and https://github.com/AaronWard/covidify/issues/27.",1,https://github.com/AaronWard/covidify/blob/master/LICENSE is provided.,1,There are 2 files related to testing.,6.0,1.0,0.0,0.0,60.0,44.0,44.0,0.0,0.0,168.0,0.0018575851393188,0.0007440476190476,0.0,0.0,0.0019136924696201,0.0021410150357646,0.0021410150357646,0.0,0.0,0.003776129467296,21
adlik/adlik,Y,107,150,6325,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/Adlik/Adlik/graphs/contributors shows that there are multiple contributors.,1,The project uses Azure Pipeline for CI,1,There is a well-maintained documentation,1.0,Evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/Adlik/Adlik/issues/136 and https://github.com/Adlik/Adlik/issues/108.",1,https://github.com/Adlik/Adlik/blob/master/LICENSE is provided.,1,There are many files related to testing.,52.0,7.0,86.0,86.0,618.0,389.0,389.0,10.0,0.0,237.0,0.0160990712074303,0.0052083333333333,0.0099376011093136,0.0099640829567836,0.0197110324370873,0.018928519293465,0.018928519293465,0.0052798310454065,0.0,0.0053270397842211,21
aimacode/aima-python,Y,4715,1188,27352,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/aimacode/aima-python/graphs/contributors shows that there are multiple contributors,1,The project uses Travis CI,1,There is a well-maintained documentation,1.0,Little evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/aimacode/aima-python/issues/1181 and https://github.com/aimacode/aima-python/issues/1190",1,https://github.com/aimacode/aima-python/blob/master/LICENSE is provided.,1,There are many files related to testing,63.0,8.0,30.0,6.0,101.0,347.0,347.0,5.0,11.0,888.0,0.0195046439628483,0.0059523809523809,0.0034666050381326,0.0006951685783802,0.0032213823238605,0.0168848231229623,0.0168848231229623,0.0026399155227032,0.0119956379498364,0.0199595414699932,21
aiqm/torchani,Y,153,358,4738,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/aiqm/torchani/graphs/contributors shows that there are multiple contributors,1,The project uses CI but not sure what is it,0,Most of the functions in the source code are not documented.,1.0,Evidence of sustained commit activity but not stable,1,"The project maintainers respond to issues, as evidenced by https://github.com/XanaduAI/pennylane/issues/661 and https://github.com/XanaduAI/pennylane/issues/533",1,https://github.com/aiqm/torchani/blob/master/LICENSE is provided.,1,There are many files related to testing,16.0,8.0,38.0,34.0,451.0,132.0,132.0,5.0,9.0,356.0,0.004953560371517,0.0059523809523809,0.0043910330483013,0.0039392886108214,0.0143845883966446,0.006423045107294,0.006423045107294,0.0026399155227032,0.0098146128680479,0.0080017981568891,21
albumentations-team/albumentations,Y,5406,573,9200,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/albumentations-team/albumentations/graphs/contributors?from=2019-04-22&to=2020-03-12&type=c shows that there are multiple contributors,0,CI is not used on the project.,1,There is a well-maintained documentation,1.0,commit activity decreasing,1,"The project maintainers respond to issues, as evidenced by https://github.com/albumentations-team/albumentations/issues/644 and https://github.com/albumentations-team/albumentations/issues/653 however there are s lot open issues",1,https://github.com/albumentations-team/albumentations/blob/master/LICENSE is provided.,1,There are many files related to testing,19.0,7.0,26.0,25.0,175.0,267.0,267.0,0.0,9.0,361.0,0.0058823529411764,0.0052083333333333,0.0030043910330483,0.002896535743251,0.005581603036392,0.0129920685124811,0.0129920685124811,0.0,0.0098146128680479,0.0081141829624634,21
alfredfrancis/ai-chatbot-framework,Y,1340,378,1516,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/alfredfrancis/ai-chatbot-framework/graphs/contributors shows that there are multiple contributors,1,The project uses Travis CI,1,There is a well-maintained documentation,1.0,Evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/alfredfrancis/ai-chatbot-framework/issues/130 and https://github.com/alfredfrancis/ai-chatbot-framework/issues/113 but not recently",1,https://github.com/alfredfrancis/ai-chatbot-framework/blob/master/License.txt is provided.,1,There are files related to testing,16.0,2.0,18.0,15.0,65.0,73.0,73.0,3.0,0.0,92.0,0.004953560371517,0.0014880952380952,0.0020799630228795,0.0017379214459506,0.0020731668420884,0.0035521385820641,0.0035521385820641,0.0015839493136219,0.0,0.0020678804225668,21
allegroai/trains,Y,1347,640,115412,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/allegroai/trains/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,1,There is a well-maintained documentation,1.0,Little evidence of sustained commit activity,1,"The project maintainers (mainly 1 person) respond to issues, as evidenced by https://github.com/allegroai/trains/issues/154 and https://github.com/allegroai/trains/issues/138",1,https://github.com/allegroai/trains/blob/master/LICENSE is provided.,0,There is no evidence of any testing done on the project.,748.0,62.0,1371.0,1362.0,2206.0,9588.0,9588.0,88.0,725.0,3170.0,0.231578947368421,0.0461309523809523,0.1584238502426623,0.1578032672923184,0.0703600931330335,0.4665466400661768,0.4665466400661768,0.0464625131995776,0.7906215921483097,0.0712519667340975,21
allenai/allennlp,Y,8655,2156,40659,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/allenai/allennlp/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,1,There is a well-maintained documentation,1.0,Evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/XanaduAI/pennylane/issues/661 and https://github.com/allenai/allennlp/issues/4437",1,https://github.com/allenai/allennlp/blob/master/LICENSE is provided.,1,There are many files related to testing,137.0,21.0,142.0,133.0,683.0,531.0,531.0,3.0,2.0,924.0,0.0424148606811145,0.015625,0.0164085971804945,0.0154095701540957,0.0217841992791758,0.0258381587270692,0.0258381587270692,0.0015839493136219,0.0021810250817884,0.0207687120701281,21
alvinwan/neural-backed-decision-trees,Y,280,702,3383,The source code of the project exists as ad-hoc scripts,1,https://github.com/alvinwan/neural-backed-decision-trees/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,1,There is a well-maintained documentation,1.0,Little evidence of sustained commit activity,0,The maintainers of the project does not reply to issues or close them.,1,https://github.com/alvinwan/neural-backed-decision-trees/blob/master/LICENSE is provided.,1,There are files related to testing,119.0,114.0,62.0,51.0,1340.0,641.0,641.0,45.0,35.0,455.0,0.0368421052631579,0.0848214285714285,0.0071643170788074,0.0059089329162321,0.0427391318215162,0.0311906963164809,0.0311906963164809,0.0237592397043294,0.0381679389312977,0.01022701730726,18
amaiya/ktrain,Y,418,1315,13599,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/amaiya/ktrain/graphs/contributors shows that there are multiple contributors but mainly 1,0,CI is not used on the project.,1,There is a well-maintained documentation,1.0,Evidence of sustained commit activity,1,"The project maintainers (mainly 1 person) respond to issues, as evidenced by https://github.com/amaiya/ktrain/issues/191 and https://github.com/amaiya/ktrain/issues/185",1,https://github.com/amaiya/ktrain/blob/master/LICENSE is provided.,1,There are many files related to testing,105.0,16.0,70.0,65.0,566.0,555.0,555.0,9.0,99.0,840.0,0.0325077399380804,0.0119047619047619,0.0080887450889761,0.0075309929324527,0.0180524989634165,0.0270059851102136,0.0270059851102136,0.0047518479408658,0.1079607415485278,0.0188806473364801,21
amzn/xfer,Y,159,193,10176,Organized into projects where each project source code have been organised into different modules in a way that shows the relationship between different files,1,https://github.com/amzn/xfer/graphs/contributors shows that there are multiple contributors,1,The project uses Travis CI,1,There is a well-maintained documentation,1.0,Little evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/amzn/xfer/issues/70 and https://github.com/amzn/xfer/issues/78",1,https://github.com/amzn/xfer/blob/master/LICENSE is provided.,1,There are many projects in this git and some of them have test files,83.0,10.0,96.0,79.0,927.0,587.0,587.0,4.0,33.0,925.0,0.0256965944272445,0.0074404761904761,0.0110931361220244,0.0091530529486733,0.029566548655631,0.0285630869544061,0.0285630869544061,0.0021119324181626,0.0359869138495092,0.0207911890312429,14
analyticalmindsltd/smote_variants,Y,164,236,12264,The source code of this project has been organised into different modules in a way that shows the relationship between different files,0,There are no contributors to the project other than the author.,1,The project uses Travis and Circle CI,1,There is a well-maintained documentation,0.0,No evidence of sustained commit activity,1,"The project author respond to issues, as evidenced by https://github.com/analyticalmindsltd/smote_variants/issues/24 and https://github.com/analyticalmindsltd/smote_variants/issues/11 but not often",1,https://github.com/analyticalmindsltd/smote_variants/blob/master/LICENSE is provided.,1,Only 1 test file,41.0,26.0,8.0,5.0,202.0,301.0,301.0,3.0,0.0,1138.0,0.0126934984520123,0.019345238095238,0.0009244280101687,0.0005793071486502,0.0064427646477211,0.0146464892219356,0.0146464892219356,0.0015839493136219,0.0,0.0255787817487075,21
anicolson/deepxi,Y,211,333,2301,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/anicolson/DeepXi/graphs/contributors shows that there are multiple contributors but 1 only contribute 1 commit,0,CI is not used on the project.,1,There is a well-maintained documentation,1.0,Little evidence of sustained commit activity,1,"The project author respond to issues, as evidenced by https://github.com/anicolson/DeepXi/issues/29 and https://github.com/anicolson/DeepXi/issues/43",1,https://github.com/anicolson/DeepXi/blob/master/LICENSE.txt is provided.,1,There are files related to testing,8.0,2.0,40.0,31.0,317.0,185.0,185.0,0.0,4.0,266.0,0.0024767801857585,0.0014880952380952,0.0046221400508435,0.0035917043216313,0.010110675214493,0.0090019950367378,0.0090019950367378,0.0,0.0043620501635768,0.005978871656552,21
antonmu/trainyourownyolo,Y,191,314,5225,The source code of the project exists as ad-hoc scripts,0,There are no contributors to the project other than the author.,0,CI is not used on the project.,1,There is a well-maintained documentation,1.0,There are only 12 commits in the past month,1,"Only project author respond to issues, as evidenced by https://github.com/AntonMu/TrainYourOwnYOLO/issues/118 and https://github.com/AntonMu/TrainYourOwnYOLO/issues/108.",1,https://github.com/AntonMu/TrainYourOwnYOLO/blob/master/LICENSE is provided.,1,There are many files related to testing.,16.0,10.0,2.0,1.0,116.0,47.0,47.0,1.0,8.0,297.0,0.004953560371517,0.0074404761904761,0.0002311070025421,0.00011586142973,0.0036998054412655,0.0022869933336577,0.0022869933336577,0.0005279831045406,0.0087241003271537,0.0066756574511126,18
apache/beam,Y,4034,27591,141584,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/apache/beam/graphs/contributors shows that there are multiple contributors,1,The project uses CI but not sure what is it,1,There is a well-maintained documentation,1.0,Evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/apache/beam/pull/12186 and https://github.com/apache/beam/pull/12190",1,https://github.com/apache/beam/blob/master/LICENSE is provided.,1,There are many files related to testing,727.0,847.0,2454.0,2408.0,5888.0,7484.0,7484.0,199.0,248.0,4168.0,0.2250773993808049,0.6302083333333333,0.2835682921192512,0.2789943227899432,0.1877970210187222,0.3641671938105201,0.3641671938105201,0.1050686378035902,0.2704471101417666,0.0936839739267251,21
