GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community_Converted,Community,Continuous Integration_Converted,Continuous Integration,Documentation_Converted,Documentation,History_Converted,History,Issues_Converted,Issues,License_Converted,License,Unit Testing_Converted,Unit Testing,ComplexContainerComprehension,ComplexLambdaExpression,LargeClass,LongBaseClassList,LongMessageChain,LongMethod,LongParameterList,LongScopeChaining,LongTernaryConditionalExpression,MultiplyNestedContainer,Normalized_ComplexContainerComprehension,Normalized_ComplexLambdaExpression,Normalized_LargeClass,Normalized_LongBaseClassList,Normalized_LongMessageChain,Normalized_LongMethod,Normalized_LongParameterList,Normalized_LongScopeChaining,Normalized_LongTernaryConditionalExpression,Normalized_MultiplyNestedContainer,Architecture_Converted,Contributors
adlik/adlik,Y,107,150,6325,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/Adlik/Adlik/graphs/contributors shows that there are multiple contributors.,1,The project uses Azure Pipeline for CI,1,There is a well-maintained documentation,1.0,Evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/Adlik/Adlik/issues/136 and https://github.com/Adlik/Adlik/issues/108.",1,https://github.com/Adlik/Adlik/blob/master/LICENSE is provided.,1,There are many files related to testing.,52.0,7.0,86.0,86.0,618.0,389.0,389.0,10.0,0.0,237.0,0.0160990712074303,0.0052083333333333,0.0099376011093136,0.0099640829567836,0.0197110324370873,0.018928519293465,0.018928519293465,0.0052798310454065,0.0,0.0053270397842211,21,0.8666666666666667
aiqm/torchani,Y,153,358,4738,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/aiqm/torchani/graphs/contributors shows that there are multiple contributors,1,The project uses CI but not sure what is it,0,Most of the functions in the source code are not documented.,1.0,Evidence of sustained commit activity but not stable,1,"The project maintainers respond to issues, as evidenced by https://github.com/XanaduAI/pennylane/issues/661 and https://github.com/XanaduAI/pennylane/issues/533",1,https://github.com/aiqm/torchani/blob/master/LICENSE is provided.,1,There are many files related to testing,16.0,8.0,38.0,34.0,451.0,132.0,132.0,5.0,9.0,356.0,0.004953560371517,0.0059523809523809,0.0043910330483013,0.0039392886108214,0.0143845883966446,0.006423045107294,0.006423045107294,0.0026399155227032,0.0098146128680479,0.0080017981568891,21,0.5333333333333333
albumentations-team/albumentations,Y,5406,573,9200,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/albumentations-team/albumentations/graphs/contributors?from=2019-04-22&to=2020-03-12&type=c shows that there are multiple contributors,0,CI is not used on the project.,1,There is a well-maintained documentation,1.0,commit activity decreasing,1,"The project maintainers respond to issues, as evidenced by https://github.com/albumentations-team/albumentations/issues/644 and https://github.com/albumentations-team/albumentations/issues/653 however there are s lot open issues",1,https://github.com/albumentations-team/albumentations/blob/master/LICENSE is provided.,1,There are many files related to testing,19.0,7.0,26.0,25.0,175.0,267.0,267.0,0.0,9.0,361.0,0.0058823529411764,0.0052083333333333,0.0030043910330483,0.002896535743251,0.005581603036392,0.0129920685124811,0.0129920685124811,0.0,0.0098146128680479,0.0081141829624634,21,1.0
amzn/xfer,Y,159,193,10176,Organized into projects where each project source code have been organised into different modules in a way that shows the relationship between different files,1,https://github.com/amzn/xfer/graphs/contributors shows that there are multiple contributors,1,The project uses Travis CI,1,There is a well-maintained documentation,1.0,Little evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/amzn/xfer/issues/70 and https://github.com/amzn/xfer/issues/78",1,https://github.com/amzn/xfer/blob/master/LICENSE is provided.,1,There are many projects in this git and some of them have test files,83.0,10.0,96.0,79.0,927.0,587.0,587.0,4.0,33.0,925.0,0.0256965944272445,0.0074404761904761,0.0110931361220244,0.0091530529486733,0.029566548655631,0.0285630869544061,0.0285630869544061,0.0021119324181626,0.0359869138495092,0.0207911890312429,14,0.26666666666666666
antonmu/trainyourownyolo,Y,191,314,5225,The source code of the project exists as ad-hoc scripts,0,There are no contributors to the project other than the author.,0,CI is not used on the project.,1,There is a well-maintained documentation,1.0,There are only 12 commits in the past month,1,"Only project author respond to issues, as evidenced by https://github.com/AntonMu/TrainYourOwnYOLO/issues/118 and https://github.com/AntonMu/TrainYourOwnYOLO/issues/108.",1,https://github.com/AntonMu/TrainYourOwnYOLO/blob/master/LICENSE is provided.,1,There are many files related to testing.,16.0,10.0,2.0,1.0,116.0,47.0,47.0,1.0,8.0,297.0,0.004953560371517,0.0074404761904761,0.0002311070025421,0.00011586142973,0.0036998054412655,0.0022869933336577,0.0022869933336577,0.0005279831045406,0.0087241003271537,0.0066756574511126,18,0.13333333333333333
apache/submarine,Y,263,375,6152,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/apache/submarine/graphs/contributors shows that there are multiple contributors,1,The project uses Travis CI,1,There is a well-maintained documentation,1.0,Evidence of sustained commit activity,1,"5 open, 5 closed",1,https://github.com/apache/submarine/blob/master/LICENSE-binary and https://github.com/apache/submarine/blob/master/LICENSE-binary are provided.,1,There are many files related to testing,20.0,30.0,47.0,28.0,290.0,401.0,401.0,6.0,32.0,424.0,0.0061919504643962,0.0223214285714285,0.0054310145597411,0.0032441200324412,0.0092495136031639,0.0195124324850372,0.0195124324850372,0.0031678986272439,0.034896401308615,0.0095302315126994,21,1.0
apachecn/interview,Y,6115,829,7337,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/apachecn/Interview/graphs/contributors shows that there are multiple contributors,1,The project uses Travis CI,1,There is a well-maintained documentation,1.0,Evidence of sustained commit activity,0,Do reply to issues last time but not recently,1,https://github.com/apachecn/Interview/blob/master/LICENSE is provided.,1,There are files related to testing,9.0,11.0,14.0,12.0,75.0,122.0,122.0,1.0,6.0,530.0,0.0027863777089783,0.0081845238095238,0.0016177490177952,0.0013903371567605,0.0023921155870251,0.0059364507809838,0.0059364507809838,0.0005279831045406,0.0065430752453653,0.0119127893908743,21,0.06666666666666667
arm-software/cmsis_5,Y,1320,2421,10005,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/ARM-software/CMSIS_5/graphs/contributors shows that there are multiple contributors.,0,CI is not used on the project.,1,There is a well-maintained documentation,1.0,There are only 5 commits in the past month however there seems to be evidence of sustained commit activity as the commits are quite stable,1,"The project maintainers respond to issues, as evidenced by https://github.com/ARM-software/CMSIS_5/issues/890 and https://github.com/ARM-software/CMSIS_5/issues/805.",1,https://github.com/ARM-software/CMSIS_5/blob/develop/LICENSE.txt is provided.,1,There are many files related to testing.,0.0,0.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0002311070025421,0.00023172285946,3.189487449366887e-05,0.000145978297893,0.000145978297893,0.0,0.0,4.495392222971454e-05,21,1.0
athena-team/athena,Y,142,296,11211,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/athena-team/athena/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,1,There is a well-maintained documentation,1.0,Evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/athena-team/athena/issues/164 and https://github.com/athena-team/athena/issues/141",1,https://github.com/athena-team/athena/blob/master/LICENSE is provided.,1,There are many files related to testing,50.0,42.0,110.0,96.0,1306.0,550.0,550.0,4.0,24.0,1149.0,0.0154798761609907,0.03125,0.0127108851398197,0.0111226972540841,0.0416547060887315,0.0267626879470585,0.0267626879470585,0.0021119324181626,0.0261723009814612,0.025826028320971,21,0.6
bayesiains/nflows,Y,107,105,6154,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/bayesiains/nflows/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,1.0,Little evidence of sustained commit activity,1,Open issues more than closed,1,https://github.com/bayesiains/nflows/blob/master/LICENSE.md is provided.,1,There are many files related to testing,338.0,11.0,248.0,239.0,1751.0,1125.0,1125.0,12.0,30.0,2081.0,0.1046439628482972,0.0081845238095238,0.0286572683152299,0.0276908817054802,0.0558479252384141,0.0547418617098924,0.0547418617098924,0.0063357972544878,0.0327153762268266,0.0467745560800179,21,0.7
bethgelab/foolbox,Y,1474,1538,7631,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/bethgelab/foolbox/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,1,There is a well-maintained documentation,1.0,Little evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/bethgelab/foolbox/issues/498 and https://github.com/bethgelab/foolbox/issues/545 but some are closed without resolving",0,"There is no license to be found, either in the form of a license file or written inside the source code file.",1,There are many files related to testing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1.0
bindsnet/bindsnet,Y,659,1317,8976,The source code of the project exists as ad-hoc scripts,1,https://github.com/BindsNET/bindsnet/graphs/contributors shows that there are multiple contributors.,1,The project uses Travis CI,0,Most of the functions in the source code are not documented.,1.0,Little evidence of sustained commit activity with 17 commits last month,1,"The project maintainers respond to issues, as evidenced by https://github.com/BindsNET/bindsnet/issues/345 and https://github.com/BindsNET/bindsnet/issues/317.",1,https://github.com/BindsNET/bindsnet/blob/master/LICENSE is provided.,1,There are many files related to testing.,26.0,17.0,10.0,3.0,81.0,31.0,31.0,0.0,10.0,347.0,0.0080495356037151,0.0126488095238095,0.0011555350127108,0.0003475842891901,0.0025834848339871,0.0015084424115614,0.0015084424115614,0.0,0.0109051254089422,0.0077995055068554,18,1.0
bloodaxe/pytorch-toolbelt,Y,753,467,9912,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/BloodAxe/pytorch-toolbelt/graphs/contributors shows that there are multiple contributors but mainly author,1,The project uses Travis CI,0,Most of the functions in the source code are not documented.,1.0,There are only 2 commits in the past month however there seems to be evidence of sustained commit activity as the commits are quite stable,1,"The project maintainers (mainly author) respond to issues, as evidenced by https://github.com/BloodAxe/pytorch-toolbelt/issues/4 and https://github.com/BloodAxe/pytorch-toolbelt/issues/7.",1,https://github.com/BloodAxe/pytorch-toolbelt/blob/develop/LICENSE is provided.,1,There are many files related to testing.,10.0,0.0,38.0,38.0,87.0,160.0,160.0,1.0,5.0,157.0,0.0030959752321981,0.0,0.0043910330483013,0.0044027343297416,0.0027748540809491,0.0077855092209624,0.0077855092209624,0.0005279831045406,0.0054525627044711,0.0035288828950325,21,0.2
