GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community_Converted,Community,Continuous Integration_Converted,Continuous Integration,Documentation_Converted,Documentation,History_Converted,History,Issues_Converted,Issues,License_Converted,License,Unit Testing_Converted,Unit Testing,ComplexContainerComprehension,ComplexLambdaExpression,LargeClass,LongBaseClassList,LongMessageChain,LongMethod,LongParameterList,LongScopeChaining,LongTernaryConditionalExpression,MultiplyNestedContainer,Normalized_ComplexContainerComprehension,Normalized_ComplexLambdaExpression,Normalized_LargeClass,Normalized_LongBaseClassList,Normalized_LongMessageChain,Normalized_LongMethod,Normalized_LongParameterList,Normalized_LongScopeChaining,Normalized_LongTernaryConditionalExpression,Normalized_MultiplyNestedContainer,Architecture_Converted
alibaba/ai-matrix,N,136,290,107178,Organized into projects where each project source code have been organised into different modules in a way that shows the relationship between different files,1,https://github.com/alibaba/ai-matrix/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project but there's a lot of projects so I may miss out,1,There is a well-maintained documentation,1.0,Little evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/alibaba/ai-matrix/issues/2 and https://github.com/alibaba/ai-matrix/issues/51 but not often as there are more open than closed issues",1,"There are many projects, some of them has license is provided.",1,There are many projects in this git and some of them have test files,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
carefree0910/machinelearning,N,838,551,27017,The source code of this project has been organised into different modules in a way that shows the relationship between different files,0,There are no contributors to the project other than the author.,0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,0.0,No evidence of sustained commit activity,1,"The project author respond to issues, as evidenced by https://github.com/carefree0910/MachineLearning/issues/4 and https://github.com/carefree0910/MachineLearning/issues/7",1,https://github.com/carefree0910/MachineLearning/blob/master/LICENSE is provided.,1,There are many files related to testing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
colearninglounge/co-learning-lounge,N,322,222,13776,Organized into projects where each project source code have been organised into different modules in a way that shows the relationship between different files,1,https://github.com/colearninglounge/co-learning-lounge/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project,1,There is a well-maintained documentation,1.0,Evidence of sustained commit activity but not stable,1,Open issues more than closed,0,"There is no license to be found, either in the form of a license file or written inside the source code file.",0,"There is no evidence of testing however, the project is mainly on Jupyter so testing may be on the jupyter notebooks",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
data-science-on-aws/workshop,N,142,1115,145801,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/data-science-on-aws/workshop/graphs/contributors only has 3 contributers,0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,1.0,Checking https://github.com/data-science-on-aws/workshop/pulse/monthly there has been significant commit activity in the past month.,0,There aren't any open issues,0,"There is no license to be found, either in the form of a license file or written as comments in the source code files",0,There is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
hamelsmu/code_search,N,416,162,18870,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/hamelsmu/code_search/graphs/contributors that there are multiple contributors.,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,There is a well-maintained README,0.0,There is no commit in the past month,0,There aren't any open issues,1,https://github.com/hamelsmu/code_search/blob/master/LICENSE is provided,0,There is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
huseinzol05/nlp-models-tensorflow,N,1304,273,85046,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,Multiple contributors: https://github.com/huseinzol05/NLP-Models-Tensorflow/graphs/contributors,0,No indications of using CI services,1,"There is a well maintained README, codes are well documented",1.0,Few commits in the last month: https://github.com/huseinzol05/NLP-Models-Tensorflow/graphs/commit-activity,1,Author does not respond frequently,1,https://github.com/huseinzol05/NLP-Models-Tensorflow/blob/master/LICENSE,0,There is no evidence of any testing done on the project.,338.0,11.0,248.0,239.0,1751.0,1125.0,1125.0,12.0,30.0,2081.0,0.1046439628482972,0.0081845238095238,0.0286572683152299,0.0276908817054802,0.0558479252384141,0.0547418617098924,0.0547418617098924,0.0063357972544878,0.0327153762268266,0.0467745560800179,21
jim-schwoebel/voicebook,N,169,636,12756,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,Multiple contributors: https://github.com/jim-schwoebel/voicebook/graphs/contributors,0,No indications of using CI services,1,"There is a well maintained README, some codes are documented",0.0,No commits in the past month,1,More closed issues than open. Project authors respond to issues: https://github.com/jim-schwoebel/voicebook/issues,1,https://github.com/jim-schwoebel/voicebook/blob/master/LICENSE,1,There are many files related to testing.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
kubeflow/examples,N,804,425,14024,The source code of the project exists as ad-hoc scripts,1,https://github.com/kubeflow/examples/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project,1,"There is a well-maintained README, and the majority of the functions in https://github.com/kubeflow/examples/blob/master/object_detection/serving_script/standard_fields.py and https://github.com/kubeflow/examples/blob/master/code_search/src/code_search/nmslib/search_engine.py and https://github.com/kubeflow/examples/blob/master/mnist/model.py have appropriate docstrings",1.0,https://github.com/kubeflow/examples/graphs/commit-activity shows there has been activities in the past few months consistently,1,"The project maintainers respond to issues, as evidenced by https://github.com/kubeflow/examples/issues/806 and https://github.com/kubeflow/examples/issues/798",1,https://github.com/kubeflow/examples/blob/master/LICENSE,1,There are many files related to testing,338.0,11.0,248.0,239.0,1751.0,1125.0,1125.0,12.0,30.0,2081.0,0.1046439628482972,0.0081845238095238,0.0286572683152299,0.0276908817054802,0.0558479252384141,0.0547418617098924,0.0547418617098924,0.0063357972544878,0.0327153762268266,0.0467745560800179,18
loujie0822/deepie,N,228,223,13006,The source code of this project has been organised into different modules in a way that shows the relationship between different files,0,There are no contributors to the project other than the author,0,CI is not used on the project,1,There is a well-maintained README but Most of the functions in the source code are not documented.,1.0,https://github.com/loujie0822/DeepIE/graphs/commit-activity shows there has been 1 commits in the past month,1,"The project maintainers respond to issues, as evidenced by https://github.com/loujie0822/DeepIE/issues/46 and https://github.com/loujie0822/DeepIE/issues/27",0,No license,0,there is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
microsoft/ai-edu,N,7874,506,25848,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/microsoft/ai-edu/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project,1,There is a well-maintained README but most of the functions in the source code are not documented.,1.0,https://github.com/microsoft/ai-edu/graphs/commit-activity shows that there have been activities in the past few months consistently,1,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/ai-edu/issues/501 and https://github.com/microsoft/ai-edu/issues/487",1,https://github.com/microsoft/ai-edu/blob/master/LICENSE.md,0,there is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
