GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community_Converted,Community,Continuous Integration_Converted,Continuous Integration,Documentation_Converted,Documentation,History_Converted,History,Issues_Converted,Issues,License_Converted,License,Unit Testing_Converted,Unit Testing,ComplexContainerComprehension,ComplexLambdaExpression,LargeClass,LongBaseClassList,LongMessageChain,LongMethod,LongParameterList,LongScopeChaining,LongTernaryConditionalExpression,MultiplyNestedContainer,Normalized_ComplexContainerComprehension,Normalized_ComplexLambdaExpression,Normalized_LargeClass,Normalized_LongBaseClassList,Normalized_LongMessageChain,Normalized_LongMethod,Normalized_LongParameterList,Normalized_LongScopeChaining,Normalized_LongTernaryConditionalExpression,Normalized_MultiplyNestedContainer,Architecture_Converted
parlance/ctcdecode,N,312,159,238,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/parlance/ctcdecode/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project,1,There is a README and most of the functions in https://github.com/parlance/ctcdecode/blob/master/ctcdecode/src/decoder_utils.h and https://github.com/parlance/ctcdecode/blob/master/ctcdecode/src/scorer.h and https://github.com/parlance/ctcdecode/blob/master/ctcdecode/src/ctc_beam_search_decoder.h have appropriate docstrings,1.0,https://github.com/parlance/ctcdecode/graphs/commit-activity shows that there are have been few activities in the past but some activities in the past month,1,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/parlance/ctcdecode/issues/151 and https://github.com/parlance/ctcdecode/issues/146",1,https://github.com/parlance/ctcdecode/blob/master/LICENSE,1,There are 2 files related to testing,285.0,20.0,802.0,782.0,4552.0,3709.0,3709.0,44.0,101.0,5130.0,0.088235294117647,0.0148809523809523,0.0926739080194129,0.0906036380488935,0.1451854686951806,0.1804778356284365,0.1804778356284365,0.0232312565997888,0.1101417666303162,0.1153068105192177,21
zhijian-liu/torchprofile,N,211,127,396,The source code of the project exists as ad-hoc scripts,1,"2 main contributer, the other 2 has 1 commit",0,CI is not used on the project.,0,not much,1.0,Commits are quite spread out,1,1 open < 4 closed,1,License provided,0,Doesn't seem to have unit test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
veaba/ncov,N,238,130,407,Organised but not in modules and few files,1,"1 main contributer, the other has 1 commit",0,CI is not used on the project.,-1,in chinese,0.0,Commit activity not negligible,1,17 open > 7 closed,1,License provided,0,Doesn't seem to have unit test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
lyken17/pytorch-opcounter,N,1785,107,523,The source code of the project exists as ad-hoc scripts,1,https://github.com/Lyken17/pytorch-OpCounter/graphs/contributors shows that there are multiple contributors but mainly 1 person,0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,0.0,No evidence of sustained commit activity,1,"The project author respond to issues, as evidenced by https://github.com/Lyken17/pytorch-OpCounter/issues/57 and https://github.com/Lyken17/pytorch-OpCounter/issues/71",1,https://github.com/Lyken17/pytorch-OpCounter/blob/master/LICENSE is provided.,0,There is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
kaixhin/rainbow,N,953,155,555,The source code of the project exists as ad-hoc scripts,1,https://github.com/Kaixhin/Rainbow/graphs/contributors shows that there are multiple contributors but mainly 1 person,0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,0.0,No evidence of sustained commit activity,1,"The project author respond to issues, as evidenced by https://github.com/Kaixhin/Rainbow/issues/72 and https://github.com/Kaixhin/Rainbow/issues/70",1,https://github.com/Kaixhin/Rainbow/blob/master/LICENSE.md is provided.,1,Only found 1 file related to testing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
afagarap/cnn-svm,N,145,111,557,The source code of the project exists as ad-hoc scripts,0,There are no contributors to the project other than the author.,0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,0.0,No evidence of sustained commit activity,0,Issues all raised by author and he do answered others' questions,1,https://github.com/AFAgarap/cnn-svm/blob/master/LICENSE is provided.,0,there is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
udacity/carnd-capstone,N,150,109,674,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,"2 has significantly more commits than others, but 15 contributers",0,CI is not used on the project.,0,not much,0.0,Commit activity not negligible,1,33 open > 24 closed,1,License provided,0,Doesn't seem to have unit test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
vainf/pytorch-msssim,N,142,114,687,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/VainF/pytorch-msssim/graphs/contributors shows that there are multiple contributors but mainly 1,0,CI is not used on the project.,1,There is a well-maintained documentation,0.0,No evidence of sustained commit activity,1,"The project author respond to issues, as evidenced by https://github.com/VainF/pytorch-msssim/issues/17 and https://github.com/VainF/pytorch-msssim/issues/16",1,https://github.com/VainF/pytorch-msssim/blob/master/LICENSE is provided.,1,There are many files related to testing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
tobybreckon/fire-detection-cnn,N,238,258,695,The source code of the project exists as ad-hoc scripts,1,"1-2 has significantly more commits than others, but 4 contributers",0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,1.0,Commits are quite spread out,1,3 open < 40 closed,1,License provided,0,Doesn't seem to have unit test,119.0,114.0,62.0,51.0,1340.0,641.0,641.0,45.0,35.0,455.0,0.0368421052631579,0.0848214285714285,0.0071643170788074,0.0059089329162321,0.0427391318215162,0.0311906963164809,0.0311906963164809,0.0237592397043294,0.0381679389312977,0.01022701730726,18
mesutpiskin/computer-vision-guide,N,198,101,964,The source code of this project has been organised into different modules in a way that shows the relationship between different files,0,There are no contributors to the project other than the author,0,CI is not used on the project,1,There is a well-maintained README but most of the functions in the source code are not documented.,1.0,https://github.com/mesutpiskin/computer-vision-guide/graphs/commit-activity shows that there have been very few activities in the past few months,1,"The project maintainers respond to issues, as evidenced by https://github.com/mesutpiskin/computer-vision-guide/issues/1",1,https://github.com/mesutpiskin/computer-vision-guide/blob/master/LICENSE.en-US.md,0,there is no evidence of any testing done on the project.,119.0,114.0,62.0,51.0,1340.0,641.0,641.0,45.0,35.0,455.0,0.0368421052631579,0.0848214285714285,0.0071643170788074,0.0059089329162321,0.0427391318215162,0.0311906963164809,0.0311906963164809,0.0237592397043294,0.0381679389312977,0.01022701730726,21
jakeret/tf_unet,N,1604,209,967,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,Multiple contributors: https://github.com/jakeret/tf_unet/graphs/contributors,0,No indications of using CI services,1,"There is a README, codes are not documented",0.0,"No commits the past month, active before that",1,"More closed than open, author does not respond frequently",1,https://github.com/jakeret/tf_unet/blob/master/LICENSE,0,There is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
yaledhlab/pix-plot,N,209,509,981,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/YaleDHLab/pix-plot/graphs/contributors shows that there are multiple contributors but mainly 1,0,CI is not used on the project.,1,There is a well-maintained documentation,1.0,Evidence of sustained commit activity but decreasing,1,"The project maintainers respond to issues, as evidenced by https://github.com/YaleDHLab/pix-plot/issues/96 and https://github.com/YaleDHLab/pix-plot/issues/69",0,"There is no license to be found, either in the form of a license file or written inside the source code file.",0,There is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
philipperemy/keras-tcn,N,829,351,1007,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,Multiple contributors (Mainly one): https://github.com/philipperemy/keras-tcn/graphs/contributors,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",-1,0,1.0,Few commits in the past month,1,"More closed than open, author responds frequently: https://github.com/philipperemy/keras-tcn/issues/145",1,https://github.com/philipperemy/keras-tcn/blob/master/LICENSE,0,There is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
philipperemy/deep-speaker,N,443,302,1158,The source code of the project exists as ad-hoc scripts,1,https://github.com/philipperemy/deep-speaker/graphs/contributors shows that there are multiple contributors but mainly 1,0,CI is not used on the project,1,There is a well-maintained README but most of the functions in the source code are not documented.,1.0,https://github.com/philipperemy/deep-speaker/graphs/commit-activity shows that there are have been few activities in the past,1,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/philipperemy/deep-speaker/issues/59 and https://github.com/philipperemy/deep-speaker/issues/58",0,no license,1,There are files related to testing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
allenai/scibert,N,651,253,1237,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/allenai/scibert/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,1.0,Evidence of sustained commit activity,0,Do reply to issues last time but not recently,1,https://github.com/allenai/scibert/blob/master/LICENSE.txt is provided.,1,There are files related to testing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
hunkim/pytorchzerotoall,N,3268,114,1281,"Poorly organized, general naming convention, doesn't explain modules",1,Multiple contributors: https://github.com/hunkim/PyTorchZeroToAll/graphs/contributors,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,"There is a README, codes are documented",1.0,Few commits in the last month: https://github.com/hunkim/PyTorchZeroToAll/graphs/commit-activity,1,"More open issues than closed issues, author does not respond frequently",0,There is no license,0,There is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
yunjey/pytorch-tutorial,N,16987,172,1301,tutorials for modules,1,"1 main contributer, the other 26 has 1+ commit",0,CI is not used on the project.,1,Tutorials provided,1.0,Commits are quite spread out,1,47 open < 109 closed,1,License provided,0,Doesn't seem to have unit test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
open-debin/emotion-fan,N,111,141,1363,The source code of this project has been organised into different modules in a way that shows the relationship between different files,0,There are no contributors to the project other than the author.,0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,0.0,No evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/Open-Debin/Emotion-FAN/issues/14 and https://github.com/Open-Debin/Emotion-FAN/issues/10 but not often",1,https://github.com/Open-Debin/Emotion-FAN/blob/master/LICENSE is provided.,0,There is no evidence of any testing done on the project.,119.0,114.0,62.0,51.0,1340.0,641.0,641.0,45.0,35.0,455.0,0.0368421052631579,0.0848214285714285,0.0071643170788074,0.0059089329162321,0.0427391318215162,0.0311906963164809,0.0311906963164809,0.0237592397043294,0.0381679389312977,0.01022701730726,21
ultralytics/xview-yolov3,N,111,883,1425,Organised but not in modules,1,There are no contributors to the project other than the author.,0,CI is not used on the project.,0,not much,1.0,Commits are quite spread out,1,1 open << 21 closed,1,License provided,0,Doesn't seem to have unit test,1.0,0.0,12.0,11.0,5.0,25.0,25.0,0.0,1.0,54.0,0.0003095975232198,0.0,0.001386642015253,0.0012744757270304,0.0001594743724683,0.0012164858157753,0.0012164858157753,0.0,0.0010905125408942,0.0012137559002022,9
nvidia/tacotron2,N,1837,134,1427,The source code of the project exists as ad-hoc scripts,1,https://github.com/NVIDIA/tacotron2/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,0.0,No evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/NVIDIA/tacotron2/issues/378 and https://github.com/NVIDIA/tacotron2/issues/379",1,https://github.com/NVIDIA/tacotron2/blob/master/LICENSE is provided.,0,There is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
aicoe/prometheus-anomaly-detector,N,145,135,1441,The source code of the project exists as ad-hoc scripts,1,https://github.com/AICoE/prometheus-anomaly-detector/graphs/contributors shows that there are multiple contributors.,0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,0.0,Not much commits with only 1 commit last month,1,"The project maintainers respond to issues, as evidenced by https://github.com/AICoE/prometheus-anomaly-detector/issues/68 and https://github.com/AICoE/prometheus-anomaly-detector/issues/64.",1,https://github.com/AICoE/prometheus-anomaly-detector/blob/master/LICENSE is provided.,1,There are 2 files related to testing.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
mdeff/fma,N,1175,189,1451,The source code of the project exists as ad-hoc scripts,0,There are no contributors to the project other than the author,0,CI is not used on the project,1,There is a well-maintained README but most of the functions in the source code are not documented.,1.0,https://github.com/mdeff/fma/graphs/commit-activity shows there have been very few activities in the past few months,1,"The project maintainers respond to issues, as evidenced by https://github.com/mdeff/fma/issues/40 and https://github.com/mdeff/fma/issues/39",1,https://github.com/mdeff/fma/blob/master/LICENSE.txt,0,there is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
