GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community_Converted,Community,Continuous Integration_Converted,Continuous Integration,Documentation_Converted,Documentation,History_Converted,History,Issues_Converted,Issues,License_Converted,License,Unit Testing_Converted,Unit Testing,ComplexContainerComprehension,ComplexLambdaExpression,LargeClass,LongBaseClassList,LongMessageChain,LongMethod,LongParameterList,LongScopeChaining,LongTernaryConditionalExpression,MultiplyNestedContainer,Normalized_ComplexContainerComprehension,Normalized_ComplexLambdaExpression,Normalized_LargeClass,Normalized_LongBaseClassList,Normalized_LongMessageChain,Normalized_LongMethod,Normalized_LongParameterList,Normalized_LongScopeChaining,Normalized_LongTernaryConditionalExpression,Normalized_MultiplyNestedContainer,Architecture_Converted,Contributors
databricks/spark-deep-learning,Y,1725,127,234,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/databricks/spark-deep-learning/graphs/contributors shows that there are multiple contributors.,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,There is a well maintained documentation at https://github.com/databricks/spark-deep-learning/blob/master/dev/run.py,0.0,There is no commit in the past month,1,"The project maintainers respond to issues, as evidenced by https://github.com/databricks/spark-deep-learning/issues/226",1,https://github.com/databricks/spark-deep-learning/blob/master/LICENSE is provided,1,There are many files related to testing.,0.0,1.0,9.0,9.0,10.0,29.0,29.0,3.0,0.0,11.0,0.0,0.0007440476190476,0.0010399815114397,0.0010427528675703,0.0003189487449366,0.0014111235462994,0.0014111235462994,0.0015839493136219,0.0,0.0002472465722634,21,0.5
snipsco/tract,Y,546,2046,249,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,"1 has significantly more commits than others, but 14 contributers",1,Travis used,1,Documentation provided,0.0,"Recent, Commit activity not negligible",1,13 open < 28 closed,1,License provided,0,Doesn't seem to have unit test,3.0,2.0,3.0,1.0,18.0,25.0,25.0,0.0,0.0,72.0,0.0009287925696594,0.0014880952380952,0.0003466605038132,0.00011586142973,0.000574107740886,0.0012164858157753,0.0012164858157753,0.0,0.0,0.0016183412002697,21,1.0
microsoft/windows-machine-learning,Y,554,696,251,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/microsoft/Windows-Machine-Learning/graphs/contributors shows there are multiple contributors,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,There is a well-maintained README but most of the functions in the source code are not documented.,1.0,https://github.com/microsoft/Windows-Machine-Learning/graphs/commit-activity shows there have been activities in the past few months,1,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/MMdnn/issues/856 and https://github.com/microsoft/MMdnn/issues/853",1,https://github.com/microsoft/Windows-Machine-Learning/blob/master/LICENSE,1,There are many files related to testing,9.0,0.0,2.0,2.0,18.0,37.0,37.0,0.0,2.0,36.0,0.0027863777089783,0.0,0.0002311070025421,0.00023172285946,0.000574107740886,0.0018003990073475,0.0018003990073475,0.0,0.0021810250817884,0.0008091706001348,21,1.0
bureaucratic-labs/dostoevsky,Y,132,173,316,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/bureaucratic-labs/dostoevsky/graphs/contributors shows that there are multiple contributors,1,The project uses Travis CI,0,Most of the functions in the source code are not documented.,1.0,Evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/bureaucratic-labs/dostoevsky/issues/37 and https://github.com/bureaucratic-labs/dostoevsky/issues/83",1,https://github.com/bureaucratic-labs/dostoevsky/blob/master/LICENSE is provided.,1,There are 2 files related to testing,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.865943263101552e-05,4.865943263101552e-05,0.0,0.0,6.74308833445718e-05,21,0.13333333333333333
mini-conf/mini-conf,Y,311,117,352,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/Mini-Conf/Mini-Conf/graphs/contributors shows that there are multiple contributors,1,The project uses Travis CI,1,There is a well-maintained documentation,1.0,Little evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/Mini-Conf/Mini-Conf/issues/61 and https://github.com/Mini-Conf/Mini-Conf/issues/59",1,https://github.com/Mini-Conf/Mini-Conf/blob/master/LICENSE is provided.,0,There is no evidence of any testing done on the project.,3.0,0.0,0.0,0.0,2.0,26.0,26.0,0.0,0.0,69.0,0.0009287925696594,0.0,0.0,0.0,6.378974898733774e-05,0.0012651452484064,0.0012651452484064,0.0,0.0,0.0015509103169251,21,0.4
kk7nc/hdltex,Y,167,255,443,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,Multiple contributors: https://github.com/kk7nc/HDLTex/graphs/contributors,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,"There is a well maintained README, codes are well documented",0.0,"No commits the past month, active before that",1,Author does not respond frequently,1,https://github.com/kk7nc/HDLTex/blob/master/LICENSE,0,There is no evidence of any testing done on the project.,6.0,0.0,0.0,0.0,25.0,12.0,12.0,0.0,0.0,96.0,0.0018575851393188,0.0,0.0,0.0,0.0007973718623417,0.0005839131915721,0.0005839131915721,0.0,0.0,0.0021577882670262,21,0.13333333333333333
unity-technologies/marathon-envs,Y,158,402,676,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/Unity-Technologies/marathon-envs/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,1.0,Evidence of sustained commit activity but only recently,1,"The project maintainers respond to issues, as evidenced by https://github.com/Unity-Technologies/marathon-envs/issues/31 and https://github.com/Unity-Technologies/marathon-envs/issues/30",1,https://github.com/Unity-Technologies/marathon-envs/blob/master/LICENSE is provided.,1,Only found 1 test file,2.0,0.0,0.0,0.0,16.0,10.0,10.0,0.0,0.0,7.0,0.0006191950464396,0.0,0.0,0.0,0.0005103179918987,0.0004865943263101,0.0004865943263101,0.0,0.0,0.000157338727804,21,0.23333333333333334
philipperemy/keract,Y,748,276,1054,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/philipperemy/keract/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project,1,There is a well-maintained README and some of the functions in https://github.com/philipperemy/keract/blob/master/keract/keract.py have appropriate docstrings,1.0,https://github.com/philipperemy/keract/graphs/commit-activity shows that there are have been some activities in the past with some activities in the past month,1,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/philipperemy/keract/issues/106v and https://github.com/philipperemy/keract/issues/105",1,https://github.com/philipperemy/keract/blob/master/LICENSE,1,There are files related to testing,0.0,0.0,1.0,0.0,33.0,8.0,8.0,0.0,0.0,37.0,0.0,0.0,0.000115553501271,0.0,0.001052530858291,0.0003892754610481,0.0003892754610481,0.0,0.0,0.0008316475612497,21,0.3
mrgiovanni/modelsgenesis,Y,278,178,1127,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/MrGiovanni/ModelsGenesis/graphs/contributors shows that there are multiple contributors but mainly 1,1,The project uses Travis CI,1,There is a well-maintained documentation,0.0,No evidence of sustained commit activity in recent months,1,"The project maintainers respond to issues, as evidenced by https://github.com/MisaOgura/flashtorch/issues/23 and https://github.com/MisaOgura/flashtorch/issues/22",1,https://github.com/MrGiovanni/ModelsGenesis/blob/master/LICENSE is provided.,0,There is no evidence of any testing done on the project.,24.0,4.0,22.0,10.0,134.0,119.0,119.0,0.0,3.0,198.0,0.0074303405572755,0.0029761904761904,0.0025421770279639,0.0011586142973004,0.0042739131821516,0.0057904724830908,0.0057904724830908,0.0,0.0032715376226826,0.0044504383007417,21,0.23333333333333334
guillaume-be/rust-bert,Y,222,292,1180,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/guillaume-be/rust-bert/graphs/contributors that there are multiple contributors.,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,"There is a well-maintained README, and majority of the functions in https://github.com/guillaume-be/rust-bert/tree/master/src",1.0,Checking https://github.com/guillaume-be/rust-bert/pulse/monthly there has been significant commit activity in the past month.,1,"The project maintainers respond to issues, as evidenced by https://github.com/guillaume-be/rust-bert/issues/56",1,https://github.com/guillaume-be/rust-bert/blob/master/LICENSE is provided,1,There are many files related to testing.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.247696111485727e-05,21,1.0
machine-learning-apps/issue-label-bot,Y,214,169,1200,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/machine-learning-apps/Issue-Label-Bot/graphs/contributors shows there are multiple contributors,0,CI is not used on the project,1,"There is a well-maintained README, and the majority of the functions in https://github.com/lululxvi/deepxde/blob/master/deepxde/fractional.py and https://github.com/lululxvi/deepxde/blob/master/deepxde/boundary_conditions.py have appropriate docstrings",1.0,https://github.com/machine-learning-apps/Issue-Label-Bot/graphs/commit-activity shows there are some activities in the past without no activies in the past month,1,"The project maintainers respond to issues, as evidenced by https://github.com/machine-learning-apps/Issue-Label-Bot/issues/74 and https://github.com/machine-learning-apps/Issue-Label-Bot/issues/73",1,https://github.com/machine-learning-apps/Issue-Label-Bot/blob/master/LICENSE,1,There are many files related to testing,0.0,0.0,3.0,3.0,13.0,9.0,9.0,0.0,0.0,11.0,0.0,0.0,0.0003466605038132,0.0003475842891901,0.0004146333684176,0.0004379348936791,0.0004379348936791,0.0,0.0,0.0002472465722634,21,0.23333333333333334
